mispar_rechev|sug_rechev_cd|sug_rechev_nm|shnat_yitzur|mishkal_kolel|tozeret_cd|tozeret_nm|tzeva_cd|tzeva_rechev|degem_cd|degem_nm|kinuy_mishari|sug_rechev_EU_cd|sug_rechev_EU_nm|bitul_cd|bitul_nm|bitul_dt|tokef_dt|mispar_mekomot|mispar_mekomot_leyd_nahag
"02184070"|"614"|"אוטובוס צבורי להסע מיוחד"|"2012"|"19000"|"679"|"סקניה-שוודיה"|"80"|"שנהב לבן"||"K360IB4X2"||"M3"||"0"|"לא מבוטל"||"2026-06-10"|"53"|"0"
"06365670"|"614"|"אוטובוס צבורי להסע מיוחד"|"2010"|"19000"|"361"|"וולבו שבדיה"|"80"|"שנהב לבן"||"B7R"||"M3"||"0"|"לא מבוטל"||"2026-08-01"|"51"|"0"
"44984202"|"615"|"אוטובוס צבורי עיר מפרק"|"2021"|"28000"|"204"|"סולאריס פולין"|"25"|"כסף"||"URBINO18 4121"||"M3"||"0"|"לא מבוטל"||"2027-03-03"|"47"|"0"
"89303502"|"611"|"אוטובוס צבורי עירוני"|"2022"|"18700"|"120"|"איסוזו טורקיה"|"80"|"שנהב לבן"||"B120"||"M3"||"0"|"לא מבוטל"||"2027-07-20"|"36"|"0"
"05306439"|"614"|"אוטובוס צבורי להסע מיוחד"|"2016"|"5000"|"593"|"מרצדס בנץ גרמנ"|"80"|"שנהב לבן"||"519CDI 906.657"||"M2"||"0"|"לא מבוטל"||"2026-04-17"|"19"|"0"
"09292701"|"611"|"אוטובוס צבורי עירוני"|"2019"|"19000"|"965"|"הייגר סין"|"30"|"כחול"||"KLQ6129GQ2"||"M3"||"0"|"לא מבוטל"||"2027-05-31"|"37"|"0"
"03173639"|"612"|"אוטובוס צבורי בין-עירוני"|"2017"|"19000"|"531"|"מ א ן גרמניה"|"20"|"אפור"||"IC 19.290 (RR8)"||"M3"||"0"|"לא מבוטל"||"2026-04-24"|"51"|"0"
"03173239"|"612"|"אוטובוס צבורי בין-עירוני"|"2017"|"19000"|"531"|"מ א ן גרמניה"|"20"|"אפור"||"IC 19.290 (RR8)"||"M3"||"0"|"לא מבוטל"||"2026-04-24"|"51"|"0"
"03173539"|"612"|"אוטובוס צבורי בין-עירוני"|"2017"|"19000"|"531"|"מ א ן גרמניה"|"20"|"אפור"||"IC 19.290 (RR8)"||"M3"||"0"|"לא מבוטל"||"2026-04-24"|"51"|"0"
"03173739"|"612"|"אוטובוס צבורי בין-עירוני"|"2017"|"19000"|"531"|"מ א ן גרמניה"|"20"|"אפור"||"IC 19.290 (RR8)"||"M3"||"0"|"לא מבוטל"||"2026-04-24"|"51"|"0"
"03173839"|"612"|"אוטובוס צבורי בין-עירוני"|"2017"|"19000"|"531"|"מ א ן גרמניה"|"20"|"אפור"||"IC 19.290 (RR8)"||"M3"||"0"|"לא מבוטל"||"2026-05-06"|"51"|"0"
"07220370"|"614"|"אוטובוס צבורי להסע מיוחד"|"2011"|"19000"|"361"|"וולבו שבדיה"|"80"|"שנהב לבן"||"B12B"||"M3"||"3"|"פרוק"|"2026-08-12"|"2026-01-02"|"55"|"0"
"46769202"|"622"|"אוטובוס זעיר צבורי"|"2021"|"5000"|"593"|"מרצדס בנץ גרמנ"|"80"|"שנהב לבן"||"SPRINTER 907.657"||"M2"||"3"|"פרוק"|"2026-08-12"|"2026-08-17"|"19"|"0"
"08791987"|"614"|"אוטובוס צבורי להסע מיוחד"|"2017"|"19000"|"358"|"יוטונג סין"|"80"|"שנהב לבן"||"TIGER"||"M3"||"Z"|"משטרה תאונה"|"2026-08-12"|"2027-05-08"|"55"|"0"
"07285952"|"612"|"אוטובוס צבורי בין-עירוני"|"2015"|"19000"|"361"|"וולבו שבדיה"|"20"|"אפור"||"B8R"||"M3"||"S"|"הפקדת סוחר"|"2026-08-13"|"2027-03-17"|"51"|"0"
"07286152"|"612"|"אוטובוס צבורי בין-עירוני"|"2015"|"19000"|"361"|"וולבו שבדיה"|"20"|"אפור"||"B8R"||"M3"||"S"|"הפקדת סוחר"|"2026-08-13"|"2027-03-17"|"51"|"0"
