=== רשימת אזורי תעשייה רשמית — 36 רשומות ===
  אבו קרינאת-בסמה              | דרום       | עובדים:0 | פנוי:31481 מ"ר | 31.1441,34.9777
  אום אל חנוכ                  | חיפה-צפון  | עובדים:0 | פנוי:8231 מ"ר | 32.5336,35.1645
  אום-אל-פחם                   | חיפה-צפון  | עובדים:0 | פנוי:0 מ"ר | אין geom
  תעשיון נוף אדום              | דרום       | עובדים:0 | פנוי:0 מ"ר | 29.9003,35.0697
  אלון תבור                    | חיפה-צפון  | עובדים:0 | פנוי:0 מ"ר | 32.6343,35.3615
  אלפי מנשה                    | יו"ש       | עובדים:0 | פנוי:0 מ"ר | 32.1706,34.9995
  אפרת                         | יו"ש       | עובדים:0 | פנוי:0 מ"ר | 31.6516,35.1539
  אריאל מערב                   | ת"א והמרכז | עובדים:0 | פנוי:86338 מ"ר | 32.0935,35.1219
  בית שאן                      | חיפה-צפון  | עובדים:0 | פנוי:0 מ"ר | 32.5139,35.4990
  גלבוע מר תע                  | חיפה-צפון  | עובדים:0 | פנוי:33626 מ"ר | 32.5688,35.2672
  דימונה                       | דרום       | עובדים:0 | פנוי:268482 מ"ר | 31.0638,35.0170
  ירוחם                        | דרום       | עובדים:0 | פנוי:84545 מ"ר | 30.9871,34.9438
  כרמיאל                       | חיפה-צפון  | עובדים:0 | פנוי:16979 מ"ר | 32.9238,35.3237
  מועצה אזורית שער הנגב        | דרום       | עובדים:0 | פנוי:0 מ"ר | 31.5149,34.5972
  מישור אדומים                 | יו"ש       | עובדים:0 | פנוי:3424 מ"ר | 31.7922,35.3366
  מעלה אפרים                   | ירושלים    | עובדים:0 | פנוי:20292 מ"ר | 32.0692,35.4162
  מרכז ספיר                    | דרום       | עובדים:0 | פנוי:75783 מ"ר | 30.5952,35.1875
  נוה צוף                      | יו"ש       | עובדים:0 | פנוי:24131 מ"ר | 32.0113,35.1315
  נתיבות                       | דרום       | עובדים:0 | פנוי:15907 מ"ר | 31.4127,34.5842
  עמנואל                       | יו"ש       | עובדים:0 | פנוי:0 מ"ר | 32.1732,35.1529
  עפולה                        | חיפה-צפון  | עובדים:0 | פנוי:67914 מ"ר | 32.6137,35.3102
  עציון                        | יו"ש       | עובדים:0 | פנוי:0 מ"ר | 31.6423,35.1524
  ערד                          | דרום       | עובדים:0 | פנוי:10957 מ"ר | 31.2444,35.2003
  פארק צבאים                   | חיפה-צפון  | עובדים:0 | פנוי:98714 מ"ר | 32.5415,35.5038
  צחר                          | חיפה-צפון  | עובדים:0 | פנוי:14674 מ"ר | 32.9691,35.5651
  קצרין                        | חיפה-צפון  | עובדים:0 | פנוי:47372 מ"ר | 32.9908,35.7099
  קרית ארבע                    | ירושלים    | עובדים:0 | פנוי:7407 מ"ר | 31.5272,35.1247
  קרית שמונה                   | חיפה-צפון  | עובדים:0 | פנוי:13940 מ"ר | 33.2079,35.5798
  רמת נגב                      | דרום       | עובדים:0 | פנוי:178144 מ"ר | 30.9987,34.7597
  שדרות                        | דרום       | עובדים:0 | פנוי:0 מ"ר | 31.5241,34.6082
  שחק שקד                      | חיפה-צפון  | עובדים:0 | פנוי:7918 מ"ר | 32.4747,35.1757
  שילה                         | יו"ש       | עובדים:0 | פנוי:0 מ"ר | 32.0468,35.3058
  שלומי                        | חיפה-צפון  | עובדים:0 | פנוי:4531 מ"ר | 33.0763,35.1437
  שער הנגב  ספירים             | דרום       | עובדים:0 | פנוי:0 מ"ר | 31.5149,34.6025
  נתיבות פארק טכנולוגי         | דרום       | עובדים:0 | פנוי:11352 מ"ר | 31.4108,34.5758
  נתיבות פארק התעשייה המזרחי   | דרום       | עובדים:0 | פנוי:32653 מ"ר | 31.4108,34.5874

סה"כ: 36 | בלי גאומטריה תקינה: 1
