שנה,חודש,סמל_יישוב,יישוב,כביש,קוד_רחוב,lat,lon,בגשם_או_רטוב,מזג_אוויר,פני_כביש,חומרה
2020,2,,,461,,32.03674,34.84064,0,בהיר,יבש,קלה
2020,1,6500,חדרה,,602,32.43564,34.92257,1,גשום,יבש,קשה
2020,7,8300,ראשון לציון,,970,31.99564,34.7372,0,בהיר,יבש,קלה
2020,5,7900,פתח תקווה,,424,32.08255,34.90239,0,בהיר,יבש,קלה
2020,12,8400,רחובות,,363,31.89479,34.80399,0,בהיר,יבש,קלה
2020,11,5000,תל אביב - יפו,,1135,32.06087,34.77382,0,בהיר,יבש,קלה
2020,5,6100,בני ברק,,906,32.08474,34.83356,0,בהיר,יבש,קלה
2020,11,2640,ראש העין,,267,32.1069,34.9674,0,לא ידוע,לא ידוע,קשה
2020,10,6200,בת ים,,406,32.02207,34.75011,0,בהיר,יבש,קלה
2020,5,6500,חדרה,,252,32.44558,34.92454,0,בהיר,יבש,קלה
2020,9,5000,תל אביב - יפו,,2309,32.04698,34.78367,0,בהיר,יבש,קלה
2020,3,5000,תל אביב - יפו,,225,32.12436,34.82453,0,בהיר,יבש,קלה
2020,1,5000,תל אביב - יפו,,1107,32.06953,34.78385,0,בהיר,יבש,קלה
2020,2,,,444,,32.22079,34.9807,0,בהיר,יבש,קלה
2020,11,6900,כפר סבא,,412,32.18687,34.90448,0,בהיר,יבש,קלה
2020,3,8700,רעננה,,161,32.18452,34.87824,0,בהיר,יבש,קלה
2020,6,3000,ירושלים,,904,31.79011,35.19267,0,בהיר,יבש,קלה
2020,3,,,85,,32.91821,35.26569,0,בהיר,יבש,קלה
2020,10,6900,כפר סבא,,420,32.18382,34.90067,0,בהיר,יבש,קלה
2020,7,5000,תל אביב - יפו,,1713,32.04727,34.74972,0,בהיר,יבש,קלה
2020,6,7000,לוד,,524,31.94258,34.88883,0,בהיר,יבש,קלה
2020,2,8400,רחובות,,609,31.88364,34.81851,0,בהיר,יבש,קלה
2020,1,1292,ג'דיידה-מכר,,,32.92959,35.14682,0,בהיר,יבש,קלה
2020,9,,,5803,,32.35493,35.0039,0,בהיר,יבש,קלה
2020,9,4000,חיפה,,1012,32.79471,35.01789,0,בהיר,יבש,קלה
2020,1,5000,תל אביב - יפו,,3130,32.12373,34.7881,0,בהיר,יבש,קלה
2020,5,,,3875,,31.76217,35.14839,0,בהיר,יבש,קלה
2020,10,6400,הרצליה,,538,32.16144,34.81929,0,בהיר,יבש,קלה
2020,9,6600,חולון,,970,32.00854,34.77399,0,בהיר,יבש,קלה
2020,5,7300,נצרת,,250,32.70604,35.30122,0,בהיר,יבש,קלה
2020,8,,,6353,,32.4729,35.03232,0,בהיר,יבש,קלה
2020,8,7300,נצרת,,,32.70207,35.29455,0,לא ידוע,לא ידוע,קשה
2020,8,3000,ירושלים,,159,31.78892,35.22367,0,בהיר,יבש,קשה
