מקט,קו,מפעילה,מסלול,נסיעות ביום,מהן נגישות,אחוז נגיש
10332,332,נסיעות ותיירות,תחנת רכבת חיפה מרכז השמונה-חיפה<->שדרות מעלה יצחק/כרכום-נוף ,871,771,89%
14360,360,אלקטרה אפיקים תחבורה,סובת התאנה-אפרת<->שדרות שז''ר/בנייני האומה-ירושלים-2#,417,417,100%
10470,470,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת.מרכזית באר שבע/ה,316,316,100%
12114,114,דן,מסוף ההגנה/איסוף-תל אביב יפו<->מסוף ההגנה/הורדה-תל אביב יפו-,292,292,100%
10388,388,מטרופולין,ת. מרכזית ערד/רציפים-ערד<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,264,264,100%
11691,691,בית שמש אקספרס,קניון איילון-בני ברק<->שדרות האמוראים/רבינא-בית שמש-27,239,239,100%
11310,310,קווים,תחנה תפעולית/ביטוח לאומי-ירושלים<->משך חוכמה ז-מודיעין עילית,232,232,100%
10367,367,נתיב אקספרס,ת. מרכזית צפת/רציפים-צפת<->ת. מרכזית נהריה/הורדה-נהריה-2#,190,190,100%
10397,397,אגד,ת. מרכזית אילת/רציפים-אילת<->ת.מרכזית באר שבע/הורדה-באר שבע-,185,185,100%
10361,361,נתיב אקספרס,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->ת. מרכזית צפת/הורדה-,178,178,100%
24020,20,מטרופולין,בי''ס אלמותנבי-כסיפה<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,173,173,100%
16041,41,נתיב אקספרס,עירייה-מעלות תרשיחא<->ת. מרכזית נהריה/הורדה-נהריה-2א,172,172,100%
16380,380,נסיעות ותיירות,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->כלא צלמון-מרום הגליל,151,151,100%
12143,143,אגד,ת. רכבת קרית אריה-פתח תקווה<->חניון אגד/דן שומרון-חולון-20,151,151,100%
21070,70,קווים,ת. מרכזית חדרה/רציפים-חדרה<->הנרקיס/הסביון-זכרון יעקב-13,146,146,100%
18047,47,קווים,דרך לב השרון/האילן-קדימה צורן<->ת. מרכזית נתניה/הורדה-נתניה-,146,146,100%
10690,690,בית שמש אקספרס,קניון איילון-בני ברק<->שדרות האמוראים/רבינא-בית שמש-2#,144,144,100%
14048,48א,אגד,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->מעלה ההר/המלאכה-,142,142,100%
13290,290,קווים,האדמו''ר מרוז'ין/רבי עקיבא-ביתר עילית<->הרטום/שדרות גולדה מא,138,138,100%
14139,139,קווים,ז'בוטינסקי/ אבו חצירא-בני ברק<->הר''ן/קדושת לוי-ביתר עילית-2,138,138,100%
13173,173,אגד,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. מרכזית ראש,137,137,100%
25060,60א,קווים,ת.רכבת חדרה מערב/רציפים    -חדרה<->קידמה/התמדה-חריש-10,134,134,100%
10430,430,אגד,ת. מרכזית טבריה/רציפים-טבריה<->ת. מרכזית המפרץ/הורדה-חיפה-2#,131,131,100%
11170,170,נתיב אקספרס,קניון לב המפרץ/ההסתדרות-חיפה<->אל קודס/בנק הפועלים-טמרה-1ש,116,116,100%
10306,306,נתיב אקספרס,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->אחמד חוסין עלאם/אל ב,114,114,100%
