trans_id,lang,translation
1006/1041,EN,1006/1041
101/102,EN,101/102
101/104,EN,101/104
101/124,EN,101/124
101/128,EN,101/128
105/100,EN,105/100
1054/1066,EN,1054/1066
1185/דרך מנחם בגין,EN,1185/Menachem Begin Road
1185/המסגר,EN,HaMasger/1185
130/121,EN,130/121
15/1506,EN,15/1506
152/155,EN,152/155
186,EN,186
2 אום טובא,EN,Umm Tuba 2
200/201,EN,200/201
200/240,EN,200/240
200/ארכ'בישוף אל חג'אר,EN,Al Khajar Archbishop/200
200/כמאל גונבלאט,EN,Kamal Jumblatt/200
200/כמאל ג'ונבלאט,EN,Kamal Jumblatt/200
200/עומר א סעסעני,EN,Omar a Sasa'ani/200
201/203,EN,201/203
201/221,EN,201/221
201/418,EN,201/418
201/609,EN,201/609
202,EN,202
202/203,EN,202/203
2040/יוניצמן,EN,Yunitsman/2040
2040/שושנה פרסיץ,EN,2040/Shoshana Persitz
2211/צומת פתחת שלום,EN,Pit'hat Shalom Junction/2211
225 בית עלמין,EN,Cemetery 225
225/200,EN,225/200
230,EN,230
230/225,EN,230/225
250/251,EN,250/251
256/250,EN,256/250
28,EN,28
293/2932,EN,293/2932
3 גוליס,EN,Julis 3
3 שכונת בזבז,EN,Bazbaz Quarter 3
3001/דרך הציונות,EN,Derech Hatsionut/3001
3002/3006,EN,3002/3006
3003/3008,EN,3003/3008
3008/3009,EN,3008/3009
3008/3100,EN,3008/3100
301/303,EN,301/303
301/313,EN,301/313
301/323,EN,301/323
3013/ח'אלת א דיר,EN,Halat A Dir/3013
313/גבור יוסף גבור,EN,Jabur Yusef Jabur/313
3403/אבן שמואל,EN,Even Shmuel/3403
37,EN,37
3855/טופז,EN,Topaz/3855
3985/דיור מוגן מעון הרופא,EN,Ma'on HaRofe Senior Living3985
40/צומת סגולה,EN,Segula Junction/40
402/300,EN,Yaffat a-Nasere/al-Wadi al-Khareji
411/425,EN,411/425
421,EN,421
421/300,EN,421/300
425/411,EN,425/411
444/שדרות עמק איילון,EN,Emek Ayalon Boulevard/444
4711/מסוף,EN,Terminal/4711
500,EN,500
500/507,EN,500/507
500/כמאל ג'ונבלאט,EN,Kamal Jumblatt/500
5026/5032,EN,5026/5032
5026/5039,EN,5026/5039
5233/ג'לג'וליה יציאה,EN,Jaljul Exit/5233
5614/שדרות הזיתים,EN,HaZetim Boulevard/5614
562/שדרות הדקלים,EN,HaDekalim Boulevard/562
5702/השושנים,EN,HaShoshanim/5702
